"Gene_ID"	"SRR8368679"	"SRR8368680"	"SRR8368681"	"SRR8368682"	"SRR8368683"	"SRR8368684"
"Rv2059"	59	90	77	51	51	72
"Rv2060"	0	0	0	0	0	0
"Rv2061c"	120	112	120	118	91	81
"Rv2062c"	526	668	709	529	614	501
"Rv2063"	17	25	18	20	10	11
"Rv2063A"	7	13	21	7	14	20
"Rv2064"	143	156	168	162	167	141
"Rv2065"	82	89	117	72	79	73
"Rv2066"	220	278	266	165	215	180
"Rv2067c"	275	273	249	290	270	174
"Rv2068c"	303	337	352	253	251	209
"Rv2069"	95	94	93	107	61	45
"Rv2070c"	42	45	63	49	42	58
"Rv2071c"	29	39	44	22	38	46
"Rv2072c"	92	98	126	79	120	107
"Rv2073c"	57	76	86	45	49	68
"Rv2074"	392	369	398	361	339	260
"Rv2075c"	322	354	395	449	376	216
"Rv2076c"	55	95	79	68	67	38
"Rv2077A"	27	13	22	15	20	27
"Rv2077c"	949	908	1137	1032	934	281
"Rv2078"	19	26	21	23	23	21
"Rv2079"	200	241	268	214	245	205
"Rv2080"	545	584	635	562	555	172
"Rv2081c"	499	471	529	482	370	81
"Rv2082"	430	489	518	407	341	210
"Rv2083"	231	286	298	227	256	154
"Rv2084"	287	311	347	247	292	185
"Rv2085"	37	44	50	28	31	26
"Rv2086"	8	15	12	11	11	30
"Rv2088"	128	139	152	117	165	143
"Rv2089c"	24	27	45	31	39	76
"Rv2090"	125	132	134	131	119	106
"Rv2091c"	717	762	803	696	631	485
"Rv2092c"	675	834	862	631	691	467
"Rv2093c"	373	362	367	379	415	203
"Rv2094c"	588	697	775	613	664	447
"Rv2095c"	153	184	178	166	182	151
"Rv2096c"	249	309	296	280	287	183
"Rv2097c"	501	544	513	504	486	368
"Rv2100"	389	410	443	456	374	233
"Rv2101"	1011	1212	1331	988	1167	906
"Rv2102"	218	320	304	203	254	239
"Rv2103c"	51	67	59	48	71	32
"Rv2104a"	32	42	32	46	39	17
"Rv2104c"	37	68	62	67	58	21
"Rv2107"	1	5	5	5	8	18
"Rv2108"	170	240	244	178	161	77
"Rv2109c"	452	505	568	551	525	279
"Rv2110c"	560	677	708	544	656	308
"Rv2111c"	172	216	226	184	179	84
"Rv2112c"	421	567	563	413	503	396
"Rv2113"	149	167	177	112	138	114
"Rv2114"	373	417	408	374	377	86
"Rv2115c"	1593	2074	2236	1809	2143	1012
"Rv2116"	64	72	78	69	55	51
"Rv2117"	12	14	9	19	16	21
"Rv2118c"	111	110	96	116	91	101
"Rv2119"	106	119	130	120	103	125
"Rv2120c"	183	182	220	179	190	93
"Rv2121c"	71	104	97	79	92	92
"Rv2122c"	13	13	9	6	10	10
"Rv2123"	32	38	30	32	24	92
"Rv2124c"	1683	2007	2160	1655	1993	885
"Rv2125"	231	319	310	228	250	182
"Rv2126c"	30	36	33	36	46	21
"Rv2127"	1104	1034	1067	1179	1081	475
"Rv2128"	80	82	109	76	72	22
"Rv2129c"	378	416	429	362	359	176
